180.98,82.71,87.12,50.55,1
182.85,82.3,95.13,44.32,1
186.43,81.17,83.58,50.32,1
175.42,83.78,103.28,50.61,1
178.17,82.75,80.95,51.32,1
181.03,82.56,90.21,47.36,1
174.2,83.74,85.92,51.91,1
179.41,83.57,97.2,52.12,1
171.19,85.13,88.82,51.57,1
174.83,82.75,89.19,51.18,1
178.13,82.71,96.08,50.43,1
175.29,84.02,108.94,47.41,1
171.03,85.12,78.3,46.17,1
179.45,83.0,89.07,48.86,1
167.06,85.68,97.98,51.84,1
174.73,83.85,91.56,51.63,1
175.01,84.74,94.59,50.96,1
162.22,85.46,86.86,46.78,1
175.54,84.34,95.4,46.1,1
175.38,85.02,87.95,50.52,1
173.41,84.12,90.1,52.34,1
170.89,84.72,89.46,49.4,1
170.12,84.15,90.3,50.45,1
173.21,84.63,85.15,48.59,1
178.54,83.72,76.67,51.63,1
169.64,83.99,105.85,49.19,1
168.1,85.72,99.4,46.31,1
171.23,84.1,81.87,52.99,1
171.85,83.64,88.0,50.69,1
167.76,84.46,97.79,51.79,1
174.39,85.38,90.02,53.41,1
171.78,85.73,93.81,52.67,1
173.06,85.22,90.56,56.46,1
168.0,85.17,100.51,46.44,1
173.69,83.63,112.66,47.26,1
176.79,83.85,91.74,49.17,1
171.6,84.43,82.82,54.14,1
168.99,84.89,88.99,49.71,1
163.8,83.74,93.6,44.56,1
176.08,83.02,86.44,51.45,1
173.6,85.35,85.26,49.77,1
162.11,86.55,94.45,50.16,1
165.52,84.25,102.53,52.27,1
167.09,83.82,94.06,52.03,1
171.43,84.96,105.53,49.83,1
170.17,83.54,103.21,47.29,1
161.58,85.74,98.92,50.98,1
170.77,84.0,99.78,51.45,1
163.22,85.23,99.19,51.6,1
187.28,79.79,99.59,49.8,1
162.49,86.59,93.96,52.97,2
180.41,81.81,129.08,44.14,2
181.56,81.85,111.62,59.16,2
183.2,79.54,90.31,56.49,2
185.31,81.68,114.31,40.45,2
172.96,85.63,111.61,42.63,2
185.19,80.74,104.31,46.19,2
177.05,81.94,108.74,39.78,2
172.59,84.65,101.37,50.76,2
180.24,83.38,96.11,45.11,2
183.23,81.02,90.99,54.42,2
181.29,81.77,84.69,54.03,2
175.98,83.5,108.72,41.64,2
173.27,84.49,73.07,57.51,2
175.38,83.63,114.79,48.95,2
183.55,80.99,85.87,52.73,2
168.38,84.55,93.25,57.97,2
179.69,83.95,128.42,41.92,2
174.04,83.58,96.87,53.91,2
175.9,84.1,113.47,51.6,2
168.07,85.88,96.38,49.47,2
167.97,85.35,94.53,49.14,2
170.5,84.2,92.75,59.05,2
173.35,84.97,102.92,42.91,2
165.93,84.8,70.29,53.66,2
173.47,85.01,123.61,54.57,2
173.79,83.85,93.74,62.37,2
168.35,84.81,92.62,54.07,2
174.4,82.3,115.87,44.24,2
168.5,84.62,100.07,59.49,2
157.77,84.71,90.88,52.81,2
178.39,80.77,108.46,60.39,2
176.17,85.17,139.15,53.76,2
169.63,84.0,103.83,62.56,2
180.53,81.54,93.05,61.22,2
158.33,85.48,95.31,51.49,2
168.96,85.28,82.81,54.57,2
160.1,84.48,110.19,41.0,2
165.09,84.69,106.74,46.76,2
159.78,86.55,97.62,55.22,2
173.73,84.71,90.96,47.47,2
176.45,84.0,97.91,47.72,2
169.46,85.07,107.34,47.67,2
183.21,82.45,121.28,44.33,2
172.46,83.71,78.0,54.84,2
177.73,84.39,103.77,68.29,2
172.93,83.82,84.63,49.59,2
164.21,87.07,103.6,47.79,2
178.82,83.96,86.85,63.21,2
171.33,83.11,85.97,47.34,2
170.26,85.48,87.78,60.55,3
175.32,84.08,60.06,60.32,3
164.69,84.51,60.71,59.09,3
165.9,85.33,67.33,57.73,3
159.85,86.86,77.42,61.25,3
163.81,85.99,69.03,55.74,3
174.01,83.71,66.39,62.51,3
165.29,84.3,77.09,64.14,3
181.38,81.58,62.03,61.17,3
171.18,84.53,91.98,54.82,3
160.73,85.36,90.33,49.52,3
165.11,85.66,59.06,52.97,3
171.82,86.17,85.92,71.26,3
171.9,84.29,64.13,63.9,3
176.26,82.45,89.33,54.47,3
161.85,86.31,77.83,52.37,3
165.18,84.69,78.12,59.51,3
163.13,86.01,69.12,63.43,3
157.53,85.02,76.74,52.17,3
180.54,82.08,71.14,61.35,3
170.75,84.76,93.14,55.92,3
174.73,85.19,78.28,58.6,3
182.97,80.79,93.0,51.54,3
166.51,84.57,100.49,53.96,3
166.04,85.11,89.9,55.61,3
165.5,86.02,72.51,57.43,3
152.97,84.83,87.94,61.55,3
154.97,87.07,63.85,57.14,3
165.56,86.88,45.62,60.18,3
165.56,86.88,45.62,60.18,3
155.8,86.63,86.73,54.81,3
174.53,85.3,58.89,64.83,3
168.77,85.27,55.74,65.19,3
171.88,83.27,88.25,64.6,3
167.65,86.02,61.25,58.52,3
162.84,86.19,83.67,59.77,3
170.28,84.1,87.99,58.56,3
170.03,83.43,91.22,58.32,3
164.84,85.69,63.17,64.05,3
165.06,85.55,70.31,58.48,3
163.25,84.28,97.23,61.8,3
161.46,86.57,62.13,60.18,3
178.43,81.81,81.15,56.58,3
165.9,84.8,66.26,58.38,3
166.7,85.51,104.07,44.18,3
181.45,83.35,41.99,62.53,3
168.38,85.35,88.13,57.34,3
163.91,86.09,79.8,53.03,3
157.27,84.75,87.81,54.82,3
164.03,83.85,79.14,56.27,3
